产品名称,产品ID,芯片系列,产品系列,图形芯片,核心工艺,CUDA核心,基础频率,一键OC核心频率,显存频率,显存容量,显存类型,显存位宽,总线标准,3D API,显示接口,外接供电,TDP功耗,图片列表,NVIDIA SLI,数字最大分辨率,多显示器,呼吸灯,风扇调速,风扇智能启停,VGA最大分辨率,水冷头
iGame GeForce GTX1070Ti Vulcan X,1490,GeForce® GTX 1070Ti,iGame系列,GeForce GTX 1070Ti,16nm,2432,Base：1607MHz；Boost:1683MHz,,8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2HDMI+2DP,8 + 8Pin,180W,"['https://www.colorful.cn/uploads/AttachFile/201711071126241341.jpg', 'https://www.colorful.cn/uploads/AttachFile/201711071126396405.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711071126488289.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711071126587973.JPG']",Y,7680x4320,4,Y,Y,Y,不支持,
iGame GeForce GTX1070Ti Vulcan AD,1488,GeForce® GTX 1070Ti,iGame系列,GeForce GTX 1070Ti,16nm,2432,Base：1607MHz；Boost:1683MHz,,8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2HDMI+2DP,8 + 8Pin,180W,"['https://www.colorful.cn/uploads/AttachFile/201711071128376703.jpg', 'https://www.colorful.cn/uploads/AttachFile/201711071128500723.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711071128571079.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711071129057191.JPG']",Y,7680x4320,4,Y,Y,,N,
iGame GeForce GTX1070 烈焰战神X-8GD5 Top AD LE VRC,1546,GeForce® GTX 1070,iGame系列,GeForce GTX 1070,16nm,1920,Base：1506MHZ;Boost:1683MHZ,,8008MHz,8GB,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2HDMI+2DP,8 + 8Pin,150W,"['https://www.colorful.cn/uploads/AttachFile/201805300938250896.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805300938365244.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805300938454788.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805300938513132.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805300938556032.JPG']",Y,,,,,,,
iGame GeForce GTX1070 Vulcan X LE,1526,GeForce® GTX 1070,iGame系列,GeForce GTX 1070,16nm,1920,Base：1506MHz；Boost:1683MHz,,8008MHz,8GB,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2*HDMI+2*DP,8+8Pin,150W,"['https://www.colorful.cn/uploads/AttachFile/thumb201801181333292362.jpg', 'https://www.colorful.cn/uploads/AttachFile/thumb201801181333343218.jpg', 'https://www.colorful.cn/uploads/AttachFile/thumb201801181333398598.jpg', 'https://www.colorful.cn/uploads/AttachFile/thumb201801181333490170.jpg']",YES, 7680x4320 ,4,Y,Y,Y,,
iGame GeForce GTX1070 烈焰战神X-8GD5 AD LE,1498,GeForce® GTX 1070,iGame系列,GeForce GTX  1070,16nm,1920,Base：1506MHz；Boost:1683MHz,,8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,8 + 8Pin,150W,"['https://www.colorful.cn/uploads/AttachFile/201804171516054917.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804171516055073.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804171516056321.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804171516062093.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804171516064589.jpg']",Y,7680x4320,4,顶部&正面RGB,Y,,,
iGame GeForce GTX1070 烈焰战神X-8GD5 AD LE VR,1497,GeForce® GTX 1070,iGame系列,GeForce GTX 1070,16nm,1920,Base：1506MHz；Boost:1683MHz,,8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2HDMI+2DP,8 + 8Pin,150W,"['https://www.colorful.cn/uploads/AttachFile/201804171517285774.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804171517286866.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804171517291235.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804171517299971.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804171517301999.jpg']",Y, 7680x4320 ,4,顶部&正面RGB,Y,,不支持,
iGame GeForce GTX 1070 Vulcan X SOC,1467,GEFORCE 10系列,iGame系列,GeForce GTX 1070,16nm,1920,Base：1506MHZ;Boost:1683MHZ,Base:1670MHz;Boost:1874MHz,8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2*HDMI+2*DP,8+8Pin,150W,"['https://www.colorful.cn/uploads/AttachFile/201709121713432632.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121713436242.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121713443273.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121713444963.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121713449303.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121713454133.JPG']",Yes,7680x4320,4,Y,Y,Y,,Y
iGame GeForce GTX1070 Vulcan X OC,1461,GeForce® GTX 1070,iGame系列,GeForce GTX 1070,16nm,1920,Base：1506MHZ;Boost:1683MHZ,Base:1620MHz;Boost:1822MHz,8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2*HDMI+2*DP,8+8Pin,150W,"['https://www.colorful.cn/uploads/photo/2017/09/201709081442109565.JPG', 'https://www.colorful.cn/uploads/photo/2017/09/201709081442121265.JPG', 'https://www.colorful.cn/uploads/photo/2017/09/201709081442128129.JPG', 'https://www.colorful.cn/uploads/photo/2017/09/201709081442135305.JPG', 'https://www.colorful.cn/uploads/photo/2017/09/201709081442142481.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804171530151004.jpg']",Yes,7680x4320,4,Y,Y,Y,,Y
网驰 GeForce GTX1070-8GD5 电竞版,393,GeForce® GTX 1070,网驰系列,GeForce GTX 1070,16nm,1920,Base：1506MHZ;Boost:1683MHZ,,8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6 + 6 PIN,150W,"['https://www.colorful.cn/Resource/2017/05/201705051721592223.JPG', 'https://www.colorful.cn/Resource/2017/05/201705051722001115.JPG', 'https://www.colorful.cn/Resource/2017/05/201705051722004235.JPG', 'https://www.colorful.cn/Resource/2017/05/201705051721587855.JPG']",Y,7680x4320,4,,Y,,,
iGame GeForce GTX1070 烈焰战神X-8GD5 Top AD,391,GeForce® GTX 1070,iGame系列,GeForce GTX 1070,16nm,1920,"Boost:1822MHz,Base:1620MHz","Boost：1873MHz,Base:1670MHz",8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,8+8Pin,150W,"['https://www.colorful.cn/Resource/2016/12/201612211805311222.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211805321362.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211805329474.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211805337742.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211805304046.JPG']",是,7680x4320,4,顶部&正面RGB,是,,不支持,支持
iGame GeForce GTX1070烈焰战神X-8GD5 LE,392,GeForce® GTX 1070,iGame系列,GeForce GTX  1070,16nm,1920,Base:1506MHz;Boost:1683MHz,,8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,8+8pin,150W,"['https://www.colorful.cn/Resource/2017/01/201701111132340414.JPG', 'https://www.colorful.cn/Resource/2017/01/201701111132349930.JPG', 'https://www.colorful.cn/Resource/2017/01/201701111132355234.JPG', 'https://www.colorful.cn/Resource/2017/01/201701111132363502.JPG', 'https://www.colorful.cn/Resource/2017/01/201701111132372550.JPG', 'https://www.colorful.cn/Resource/2017/01/201701111132380662.JPG', 'https://www.colorful.cn/Resource/2017/01/201701111132333706.JPG']",是,7680x4320,,,是,否,不支持,Bitspower Bykski
iGame GeForce GTX1070-8GD5 DualBIOS XB1,389,GeForce® GTX 1070,iGame系列,GeForce GTX  1070,16nm,1920,Base:1506MHz；Boost:1683MHz,,8008MHz,8G,DDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,8+8pin,150W,"['https://www.colorful.cn/Resource/2016/11/201611041147491752.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041147503920.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041147510004.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041147524980.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041147530440.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041147533560.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041147486604.JPG']",是,7680x4320,,,是,否,不支持,Bitspower Bykski
iGame GeForce GTX1070-8GD5 DualBIOS HA1,390,GeForce® GTX 1070,iGame系列,GeForce GTX  1070,16nm,1920,Base:1506MHz;Boost:1683MHz,,8008MHz,8G,DDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6+6pin,150W,"['https://www.colorful.cn/Resource/2016/11/201611041142170044.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041142179092.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041142185488.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041142190948.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041142155068.JPG']",是,7680x4320,,,是,否,不支持,Bitspower Bykski
iGame GeForce GTX1070 烈焰战神X-8GD5,388,GeForce® GTX 1070,iGame系列,GeForce GTX  1070,16nm,1920,Base：1506MHZ;Boost:1683MHZ,Base:1569MHz;Boost:1759MHz,8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,8+8pin,150W,"['https://www.colorful.cn/Resource/2016/10/201610181105589379.JPG', 'https://www.colorful.cn/Resource/2016/10/201610181105594839.JPG', 'https://www.colorful.cn/Resource/2016/10/201610181106004511.JPG', 'https://www.colorful.cn/Resource/2016/10/201610181106018083.JPG', 'https://www.colorful.cn/Resource/2016/10/201610181106029940.JPG', 'https://www.colorful.cn/Resource/2016/10/201610181105581579.JPG']",是,7680x4320,,,是,,不支持,
iGame GeForce GTX1070 烈焰战神-8GD5 VR版,387,GeForce® GTX 1070,iGame系列,GeForce GTX  1070,16nm,1920,,"Boost:1683MHz,Base:1506MHz",8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2*HDMI+2*DP,6+6pin,150W,"['https://www.colorful.cn/Resource/2016/09/201609231353030423.JPG', 'https://www.colorful.cn/Resource/2016/09/201609231353046023.JPG', 'https://www.colorful.cn/Resource/2016/09/201609231353025587.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804171536110618.jpg']",是,7680x4320,,,,,不支持,
iGame GeForce GTX1070 烈焰战神S-8GD5,385,GeForce® GTX 1070,iGame系列,GeForce GTX  1070,16nm,1920,Base：1531MHZ;Boost:1721MHZ,,8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6+6pin,150W,"['https://www.colorful.cn/Resource/2016/08/201608311514100904.JPG', 'https://www.colorful.cn/Resource/2016/08/201608311514134913.JPG', 'https://www.colorful.cn/Resource/2016/08/201608311514145365.JPG', 'https://www.colorful.cn/Resource/2016/08/201608311514088424.JPG']",是,7680x4320,,,是,,不支持,
iGame GeForce GTX1070-8GD5 烈焰战神 WA1,386,GeForce® GTX 1070,iGame 系列,GeForce GTX  1070,16nm,1920,Base：1506MHZ;Boost:1683MHZ,Base:1569MHz;Boost;1759MHz,8008MHz,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,,150w,"['https://www.colorful.cn/Resource/2016/08/201608171817206805.JPG', 'https://www.colorful.cn/Resource/2016/08/201608171817216477.JPG', 'https://www.colorful.cn/Resource/2016/08/201608171817223497.JPG', 'https://www.colorful.cn/Resource/2016/08/201608171817201657.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804171537511516.jpg']",是,7680x4320,,,,,不支持,Bitspower Bykski
iGame GeForce GTX1070 烈焰战神X-8GD5 Top,384,GeForce® GTX 1070,iGame系列,GeForce GTX  1070,16nm,1920,Base：1506MHZ;Boost:1683MHZ,Base:1607MHz；Boost:1797MHz,8008MHz,8G,DDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,8+8pin,150W,"['https://www.colorful.cn/Resource/2016/06/201606231726205452.JPG', 'https://www.colorful.cn/Resource/2016/06/201606231726209508.JPG', 'https://www.colorful.cn/Resource/2016/06/201606231726221676.JPG', 'https://www.colorful.cn/Resource/2016/06/201606231726229476.JPG', 'https://www.colorful.cn/Resource/2016/06/201606231726203268.JPG', 'https://www.colorful.cn/Resource/2016/06/201606241517358635.JPG', 'https://www.colorful.cn/Resource/2016/06/201606241517367059.JPG']",是,7680x4320,,,是,否,不支持,Bitspower Bykski
iGame GeForce GTX1070 烈焰战神U-8GD5 Top,382,GeForce® GTX 1070,iGame系列,GeForce GTX  1070,16nm,1920,Base：1506MHZ;Boost:1683MHZ,"Boost:1759MHz,Base:1569MHz",8008MHz,8G,DDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6+6pin,150W,"['https://www.colorful.cn/Resource/2016/06/201606171555239140.JPG', 'https://www.colorful.cn/Resource/2016/06/201606171555246628.JPG', 'https://www.colorful.cn/Resource/2016/06/201606171555253024.JPG', 'https://www.colorful.cn/Resource/2016/06/201606171555227908.JPG', 'https://www.colorful.cn/Resource/2016/06/201606171714272344.JPG']",是,7680x4320,,,是,否,不支持,Bitspower Bykski
七彩虹 GeForce GTX1070-8G Founders Edition,383,GeForce® GTX 1070,七彩虹系列,GeForce GTX  1070,16nm,1920,Base：1506MHZ;Boost：1683MHZ,,8008MHZ,8G,GDDR5,256bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,8pin,150W,"['https://www.colorful.cn/Resource/2016/06/201606031626093398.JPG', 'https://www.colorful.cn/Resource/2016/06/201606031626100730.JPG', 'https://www.colorful.cn/Resource/2016/06/201606031626108998.JPG', 'https://www.colorful.cn/Resource/2016/06/201606031626115238.JPG', 'https://www.colorful.cn/Resource/2016/06/201606031626087470.JPG']",是,7680x4320,,,是,,,
iGame GeForce GTX1060 冰封骑士Mini-6GD5,1545,GeForce® GTX 1060,iGame系列,GeForce GTX 1060,16nm,1280,Base：1506MHZ; Boost:1708MHZ,Base：1531MHZ; Boost:1746MHZ,8008MHz,6GB,GDDR5,192Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6PIN,120W,"['https://www.colorful.cn/uploads/AttachFile/201805230244268299.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805230244338499.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805230244405735.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805230244461427.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805230244512752.JPG']",,,,,,,,
Colorful GeForce GTX1060 GAMING 5G V5,1539,GeForce® GTX 1060,Colorful系列,GeForce GTX 1060,16nm,1280,Base：1506MHZ; BOOST:1708MHZ,,8008MHZ,5GB,GDDR5,160,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DP+HDMI+双DVI,6PIN,120W,"['https://www.colorful.cn/uploads/AttachFile/201805071726244328.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805071726297561.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805071726359325.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805071726405347.JPG']",,,,,,,,
网驰 GeForce GTX1060 GAMING 5G,1538,GeForce® GTX 1060,网驰系列,GeForce GTX 1060,16nm,1280,Base：1506MHZ; BOOST:1708MHZ,,8008,5GB,GDDR5,160,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DP+HDMI+双DVI,6PIN,120W,"['https://www.colorful.cn/uploads/AttachFile/201805071716378153.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805071716466648.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805071716531081.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805071717027467.JPG']",,,,,,,,
网驰 GeForce GTX1060 5G,1527,GeForce® GTX 1060,网驰系列,GeForce GTX 1060,16nm,1280,Base：1506MHz；Boost:1708MHz,,8008MHz,5120,GDDR5,160bit,PCI-E X16(3.0)," Direct X 12.1, OpenGL 4.5 ",DVI+HDMI+DP,6PIN,120W,"['https://www.colorful.cn/uploads/AttachFile/thumb201801191034375435.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201801191034438771.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201801191034490095.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201801191034535647.JPG']",,7680x4320,3,,Y,,,
Colorful GeForce GTX1060-3GD5 GAMING U V2,1521,GeForce® GTX 1060,Colorful系列,GeForce GTX 1060,16nm,1152,"Boost:1708MHz,Base:1506MHz",,8008MHz,3GB,GDDR5,192Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3*DP,6 + 6 PIN,120W,"['https://www.colorful.cn/uploads/AttachFile/201801091710236725.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801091710305833.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801091710446857.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801091710486325.JPG']",,7680x4320,4,,Y,,,
Colorful GeForce GTX1060-6GD5 GAMING V5 B,1519,GeForce® GTX 1060,Colorful系列,GeForce GTX 1060,16nm,1280,"Boost:1708MHz,Base:1506MHz",,8008MHz,6GB,GDDR5,192Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6Pin,120W,"['https://www.colorful.cn/uploads/AttachFile/201801091643024716.jpg', 'https://www.colorful.cn/uploads/AttachFile/201801091643083684.jpg', 'https://www.colorful.cn/uploads/AttachFile/201801091644229833.jpg']",,7680x4320,3,,Y,,,
Colorful GeForce GTX1060-6GD5 GAMING V5 A,1518,GeForce® GTX 1060,Colorful系列,GeForce GTX 1060, 16nm ,1280,"Boost:1708MHz,Base:1506MHz",, 8008MHz ,6GB,GDDR5,192Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6Pin,120W,"['https://www.colorful.cn/uploads/AttachFile/201801091152228266.jpg', 'https://www.colorful.cn/uploads/AttachFile/201801091152266174.jpg', 'https://www.colorful.cn/uploads/AttachFile/201801091152318278.jpg', 'https://www.colorful.cn/uploads/AttachFile/201801091152379742.jpg']",,7680x4320,3,,Y,,,
iGame GeForce GTX1060 RNG Edition,1512,GeForce® GTX 1060,iGame系列,GeForce GTX 1060, 16nm ,1280,Base：1506MHz；Boost:1708MHz,Base：1620MHz；Boost:1847MHz,8008MHz,6GB,GDDR5,192bit, PCI-E X16(3.0) ," Direct X 12.1, OpenGL 4.5 ",DVI+2*HDMI+2*DP,6 + 6 PIN,120W,"['https://www.colorful.cn/uploads/photo/2017/12/201712121525305896.jpg', 'https://www.colorful.cn/uploads/photo/2017/12/201712121525352072.JPG', 'https://www.colorful.cn/uploads/photo/2017/12/201712121525396065.JPG', 'https://www.colorful.cn/uploads/photo/2017/12/201712121525447545.JPG', 'https://www.colorful.cn/uploads/photo/2017/12/201712121525496217.JPG']",,7680x4320,4,,Y,Y,,
iGame GeForce GTX1060 烈焰战神S-6GD5 Top LE,1510,GeForce® GTX 1060,iGame系列,GeForce GTX 1060, 16nm , 1280 ,Base：1506MHz；Boost:1708MHz,,8008MHz,6GB,GDDR5,192bit,PCI-E X16(3.0)," Direct X 12.1, OpenGL 4.5 ",DVI+HDMI+3DP,6pin,120W,"['https://www.colorful.cn/uploads/photo/2017/12/201712111132375797.jpg', 'https://www.colorful.cn/uploads/photo/2017/12/201712111132441006.jpg', 'https://www.colorful.cn/uploads/photo/2017/12/201712111132498882.jpg', 'https://www.colorful.cn/uploads/photo/2017/12/201712111132553014.jpg']",,7680x4320,,,Y,,,
iGame GeForce GTX1060 Vulcan X LE 6G,1508,GeForce® GTX 1060,iGame系列,GeForce GTX 1060,16nm,1280,Base：1506MHz；Boost:1708MHz,,8008,6GB,GDDR5, 192bit ,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2*HDMI+2*DP,6 + 6 PIN,120W,"['https://www.colorful.cn/uploads/AttachFile/201712041759247545.JPG', 'https://www.colorful.cn/uploads/AttachFile/201712041759362986.JPG', 'https://www.colorful.cn/uploads/AttachFile/201712041759418834.JPG', 'https://www.colorful.cn/uploads/AttachFile/201712041759459394.JPG']",,7680x4320,4,Y,Y,Y,,
网驰 GeForce GTX1060-6GD5 V2,1502,GeForce® GTX 1060,网驰系列,GeForce GTX 1060,16nm,1152,Base：1506MHz；Boost:1733MHz,,8008MHz,6GB,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,120W,"['https://www.colorful.cn/uploads/AttachFile/thumb201711201536406497.JPG', 'https://www.colorful.cn/uploads/photo/2017/11/201711201537444850.JPG', 'https://www.colorful.cn/uploads/photo/2017/11/201711201537505690.JPG']",,7680x4320,,,Y,,,
网驰 GeForce GTX1060-3GD5 V2,1501,GeForce® GTX 1060,网驰系列,GeForce GTX 1060,16nm,1152,Base：1518MHz；Boost:1733MHz,,8008MHz,3G,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,120W,"['https://www.colorful.cn/uploads/AttachFile/201711201059172613.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711201059280253.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711201059413165.JPG']",,7680x4320@60Hz,,,Y,,,
Colorful GeForce GTX1060-3GD5 GAMING V5 A,1496,GeForce® GTX 1060,Colorful系列,Geforce GTX 1060,16nm,1152,Base：1518MHz；Boost:1733MHz,,8008MHz,3G,GDDR5,192Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6PIN,120W,"['https://www.colorful.cn/uploads/AttachFile/201710311233539612.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710311233544136.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710311233546944.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710311233550064.JPG']",N,7680x4320,3,,Y,,,
Colorful GeForce GTX1060-3GD5 GAMING V5  B,1495, GeForce® GTX 1060,Colorful系列 ,GeForce GTX  1060,16nm,1152,Base：1518MHz；Boost:1733MHz,,8008MHz,3G,GDDR5,192Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6PIN,120W,"['https://www.colorful.cn/uploads/AttachFile/201711021209360950.jpg', 'https://www.colorful.cn/uploads/AttachFile/201711021209366566.jpg', 'https://www.colorful.cn/uploads/AttachFile/201711021209369843.jpg']",N,7680x4320,3,,Y,,,
Colorful GeForce GTX1060-3GD5 GAMING V5,1494,GeForce® GTX 1060,Colorful系列,Geforce GTX 1060,16nm, 1152,Base：1518MHz；Boost:1733MHz,,8008MHz,3G,GDDR5,192Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6PIN,120W,"['https://www.colorful.cn/uploads/AttachFile/201710301349160161.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710301349164685.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710301349170613.JPG']",N,7680x4320,3,,Y,,不支持,
iGame GeForce GTX1060 冰封骑士Mini-3GD5,1484,Geforce® GTX 1060,iGame系列,Geforce® GTX 1060,16nm,1152,Base：1506MHz，Boost:1708MHz,Base：1531MHz，Boost:1746MHz,8008MHz,3G,GDDR5,192Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6Pin,120W,"['https://www.colorful.cn/uploads/AttachFile/201710121548050563.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710121548056491.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710121548061483.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710121548067099.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710121548072247.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710121548079423.JPG']",,7680*4320,,,,,,
iGame GeForce GTX1060 烈焰战神UT-3GD5 LE,1480,GeForce® GTX 1060,iGame系列,GeForce GTX 1060,16nm,1152,"Boost:1708MHz,Base:1506MHz","Boost:1708MHz,Base:1506MHz",8008MHz,3G,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3*DP,6+6Pin,120W,"['https://www.colorful.cn/uploads/AttachFile/201710101709392910.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710101709397278.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710101709406482.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710101709451566.JPG']",,,,,Y,,,Y
iGame GeForce GTX1060 烈焰战神UT-6GD5 LE,1479,GeForce® GTX 1060,iGame系列,GeForce GTX 1060,16nm,1280,"Boost:1708MHz,Base:1506MHz","Boost:1708MHz,Base:1506MHz",8008MHz,6G,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3*DP,6+6Pin,120W,"['https://www.colorful.cn/uploads/AttachFile/201710101709461706.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710101709466854.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710101709475122.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710101709478242.JPG']",,7680x4320,,,Y,,,Y
战斧 GeForce GTX1060 3G,1477,GeForce® GTX 1060,战斧系列,GeForce GTX 1060,16nm,1152,"Boost:1759MHz,Base:1544MHz",,8008MHz,3G,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",2*DVI-D+HDMI+DP,6Pin,120W,"['https://www.colorful.cn/uploads/AttachFile/201709291810484707.jpg', 'https://www.colorful.cn/uploads/AttachFile/201709291810490947.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709291810496563.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709291810500619.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709291810503115.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709291810509043.JPG']",N,7680x4320,,,Y,,,
战斧 GeForce GTX1060 6G,1476,GeForce® GTX 1060,战斧系列,GeForce GTX 1060,16nm,1280,"Boost:1759MHz,Base:1544MHz",,8008MHz,6G,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",2*DVI+HDMI+DP,6Pin,120W,"['https://www.colorful.cn/uploads/AttachFile/201709291804099680.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709291804105920.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709291804114032.jpg', 'https://www.colorful.cn/uploads/AttachFile/201709291804118088.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709291804122456.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709291804128229.JPG']",N,7680x4320,,,Y,,,
